a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q29957772,3610,Q29957772,1877-01-01T00:00:00Z,1927-09-04T00:00:00Z
http://www.wikidata.org/entity/Q30106234,7921,Aubertine Woodward Moore,1841-09-27T00:00:00Z,1929-01-01T00:00:00Z
http://www.wikidata.org/entity/Q37605655,715,Q37605655,1866-03-09T00:00:00Z,1954-09-12T00:00:00Z
http://www.wikidata.org/entity/Q39167718,1520,Q39167718,1860-11-10T00:00:00Z,1951-10-16T00:00:00Z
http://www.wikidata.org/entity/Q47462122,53261,Dorothea Ponsonby,1876-01-01T00:00:00Z,1963-07-11T00:00:00Z
http://www.wikidata.org/entity/Q51528978,2111,Theresa Gowanlock,1863-01-01T00:00:00Z,1899-01-01T00:00:00Z
http://www.wikidata.org/entity/Q53507403,26558,Clara Doty Bates,1838-01-01T00:00:00Z,1895-10-14T00:00:00Z
http://www.wikidata.org/entity/Q104764986,3467,Jennie Maria Drinkwater Conklin,1841-04-14T00:00:00Z,1900-04-28T00:00:00Z
http://www.wikidata.org/entity/Q141376911,35464,Annie Frances Perram,,
http://www.wikidata.org/entity/Q7207,38009,Elizabeth I of England,1533-09-17T00:00:00Z,1603-04-03T00:00:00Z
http://www.wikidata.org/entity/Q7273,4340,Ellen Swallow Richards,1842-12-03T00:00:00Z,1911-03-30T00:00:00Z
http://www.wikidata.org/entity/Q35064,451,Agatha Christie,1890-09-15T00:00:00Z,1976-01-12T00:00:00Z
http://www.wikidata.org/entity/Q36322,68,Jane Austen,1775-12-16T00:00:00Z,1817-07-18T00:00:00Z
http://www.wikidata.org/entity/Q40909,89,Virginia Woolf,1882-01-25T00:00:00Z,1941-03-28T00:00:00Z
http://www.wikidata.org/entity/Q44519,1717,Selma Lagerlöf,1858-11-20T00:00:00Z,1940-03-16T00:00:00Z
http://www.wikidata.org/entity/Q47152,61,Mary Shelley,1797-08-30T00:00:00Z,1851-02-01T00:00:00Z
http://www.wikidata.org/entity/Q61412,902,Eleanor Marx,1855-01-16T00:00:00Z,1898-03-31T00:00:00Z
http://www.wikidata.org/entity/Q61412,902,Eleanor Marx,1855-01-16T00:00:00Z,1898-04-03T00:00:00Z
http://www.wikidata.org/entity/Q90885,44669,Ludmilla Assing,1821-02-22T00:00:00Z,1880-03-25T00:00:00Z
http://www.wikidata.org/entity/Q95312,48317,Augusta Louise zu Stolberg-Stolberg,1753-01-07T00:00:00Z,1835-05-30T00:00:00Z
http://www.wikidata.org/entity/Q102513,115,Harriet Beecher Stowe,1811-06-14T00:00:00Z,1896-07-01T00:00:00Z
http://www.wikidata.org/entity/Q123041,1535,Germaine de Staël,1766-04-22T00:00:00Z,1817-07-14T00:00:00Z
http://www.wikidata.org/entity/Q131333,90,George Eliot,1819-11-22T00:00:00Z,1880-12-22T00:00:00Z
http://www.wikidata.org/entity/Q214565,292,Beatrix Potter,1866-07-28T00:00:00Z,1943-12-22T00:00:00Z
http://www.wikidata.org/entity/Q229190,2456,Catherine of Siena,1347-04-02T00:00:00Z,1380-05-07T00:00:00Z
http://www.wikidata.org/entity/Q229226,220,Elizabeth Gaskell,1810-09-29T00:00:00Z,1865-11-12T00:00:00Z
